ticker,outcome,venue,primary_exchange,con_id,candidates,detail,attempts,elapsed_s,unexpected_venue
EWGS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
EWMC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
EWRE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
EWSC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
FAIL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
FBGX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
FBZ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
FDCE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
FDGR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
FDHT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
FDTB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
FDVL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
FDWM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
FEAT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
FEDL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
FEHY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
FFHG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
FFSG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
FFTG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
FFTI,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
FGRO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
FIBR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
FIHD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
FILL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
FINE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
FIVG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
FIVY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
FLEH,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.012,no
